model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,max_group_net_exposure,tx_cost_bps,periods_per_year,portfolio_mode,selection_buffer,horizon_days,portfolio_group
rolling_mean_5d,27020,386,0.0011860302143162347,0.023386802445519543,0.49293116210214655,-0.012863273939626359,-0.006816162806456609,-1.1946390707660777,-0.6950474582937627,-0.32423541557627117,-0.016895837872980983,0.08550022096707269,-0.1976116281557658,-0.2684819650477822,0.025859602155111197,-0.0776403978448888,0.26813471502590674,,10.0,84.0,buffered,0.1,3,none
ridge_finance_only,27020,386,0.0011196982785556713,0.02256340225393773,0.5049222797927461,0.011677952735059888,0.011547582709146345,1.086056781598931,1.2664009371895835,0.5907683414364752,-0.02137497236123684,0.08864712673604688,-0.2411242546516182,-0.39168393855749917,0.04184834129241157,-0.09822308727901691,0.3628793486306439,,10.0,84.0,buffered,0.1,3,none
rolling_mean_5d,27020,386,0.0011860302143162347,0.023386802445519543,0.49293116210214655,-0.012863273939626359,-0.006816162806456609,-1.1946390707660777,-0.6950474582937627,-0.32423541557627117,-0.024572417459132547,0.0856096686350844,-0.28702853136686857,-0.2458653290760927,-0.017701823086013868,-0.11291610880029956,0.24666913397483345,,10.0,84.0,buffered,0.15,3,none
ridge_price_only,27020,386,0.0011211060770130172,0.022570919173867984,0.5028867505551443,-0.012542587857663866,-0.003652074901324426,-1.6850166601395498,-0.4839894394545394,-0.2257781323613501,-0.043305921839849784,0.06479037308770116,-0.6684005628618666,-0.3555141186802555,-0.11500102178788119,-0.19900102178788115,0.21761658031088082,,10.0,84.0,buffered,0.1,3,none
ridge_price_only,27020,386,0.0011211060770130172,0.022570919173867984,0.5028867505551443,-0.012542587857663866,-0.003652074901324426,-1.6850166601395498,-0.4839894394545394,-0.2257781323613501,-0.06443913915845992,0.0651566802126792,-0.988987452217069,-0.42316497538721654,-0.22182747279958953,-0.2961131870853039,0.1924500370096225,,10.0,84.0,buffered,0.15,3,none
elasticnet_full,27020,386,0.0011224591159745766,0.02260651370153706,0.4891931902294597,-0.018193072395399433,-0.013795813868716589,-1.6289519182028378,-1.4215800397646547,-0.6631584497834588,-0.09207376903919007,0.08600432771924706,-1.070571347755384,-0.7403999575063541,-0.35831517677532576,-0.42310089106104004,0.1678386380458919,,10.0,84.0,buffered,0.1,3,none
elasticnet_full,27020,386,0.0011224591159745766,0.02260651370153706,0.4891931902294597,-0.018193072395399433,-0.013795813868716589,-1.6289519182028378,-1.4215800397646547,-0.6631584497834588,-0.09399360721060813,0.08526097949992709,-1.1024223245135074,-0.7440775947008976,-0.37878014742017546,-0.43192300456303256,0.1376757957068838,,10.0,84.0,buffered,0.15,3,none
ridge_full,27020,386,0.0011278689380497075,0.022686017362325138,0.48645447816432275,-0.030616130681017643,-0.030662154727739515,-3.1196845567974028,-3.730588266133099,-1.740296755825833,-0.12161450263600247,0.07854475055359914,-1.5483466658031133,-0.7526848404180191,-0.5197761668749636,-0.5588475954463923,0.10122131754256106,,10.0,84.0,buffered,0.15,3,none
ridge_full,27020,386,0.0011278689380497075,0.022686017362325138,0.48645447816432275,-0.030616130681017643,-0.030662154727739515,-3.1196845567974028,-3.730588266133099,-1.740296755825833,-0.12637535814938766,0.07382009553939636,-1.7119370711453976,-0.7503785825966616,-0.5307248600674243,-0.5807248600674242,0.12953367875647667,,10.0,84.0,buffered,0.1,3,none
country_sector_dummy,27020,386,0.0011262833212058966,0.022659943714260767,0.48019985196151,-0.044479674251397296,-0.04639042830024844,-4.509071262216094,-4.960095497536833,-2.3138544077117142,-0.1442305585544102,0.09682893141631709,-1.489539917922767,-0.8580089759766034,-0.6614880428809802,-0.6627737571666945,0.003330866025166543,,10.0,84.0,buffered,0.15,3,none
ridge_country_features_only,27020,386,0.0011262833212058966,0.022659943714260767,0.48019985196151,-0.044479674251397296,-0.04639042830024844,-4.509071262216094,-4.960095497536833,-2.3138544077117142,-0.1442305585544102,0.09682893141631709,-1.489539917922767,-0.8580089759766034,-0.6614880428809802,-0.6627737571666945,0.003330866025166543,,10.0,84.0,buffered,0.15,3,none
country_sector_dummy,27020,386,0.0011262833212058966,0.022659943714260767,0.48019985196151,-0.044479674251397296,-0.04639042830024844,-4.509071262216094,-4.960095497536833,-2.3138544077117142,-0.14861385675276997,0.08816839167248364,-1.6855684212185835,-0.8385573070295607,-0.6812731988877287,-0.6829160560305858,0.0042561065877128055,,10.0,84.0,buffered,0.1,3,none
ridge_country_features_only,27020,386,0.0011262833212058966,0.022659943714260767,0.48019985196151,-0.044479674251397296,-0.04639042830024844,-4.509071262216094,-4.960095497536833,-2.3138544077117142,-0.14861385675276997,0.08816839167248364,-1.6855684212185835,-0.8385573070295607,-0.6812731988877287,-0.6829160560305858,0.0042561065877128055,,10.0,84.0,buffered,0.1,3,none
rolling_momentum_21d,27020,386,0.009733427937021016,0.069603627464127,0.49370836417468544,0.008035651344229266,0.002431819413383398,0.7255619390978021,0.23277165207510742,0.10858656116838712,0.024530527213884844,0.09624900270599702,0.2548652611894171,-0.22492291125347752,0.18158075600666132,0.11272361314951845,0.08919319022945965,,20.0,84.0,buffered,0.15,3,none
rolling_momentum_21d,27020,386,0.009733427937021016,0.069603627464127,0.49370836417468544,0.008035651344229266,0.002431819413383398,0.7255619390978021,0.23277165207510742,0.10858656116838712,0.012250807231522182,0.09574215479765748,0.12795625142773495,-0.25845499408983524,0.13272394751628047,0.05629537608770907,0.09900074019245002,,20.0,84.0,buffered,0.1,3,none
ridge_wind_weather_only,27020,386,0.0011196126427229505,0.02256437434235577,0.5066247224278312,0.01553824821464053,0.013071824080778529,2.1627733215179146,1.666514489496552,0.7774188821469157,0.01055513794233004,0.06721770376254209,0.1570291359493304,-0.2289933951045764,0.30321765768737374,0.048503371973088044,0.329940784603997,,20.0,84.0,buffered,0.1,3,none
zero_score,27020,386,0.0011201829523633828,0.02256900356292984,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,20.0,84.0,buffered,0.1,3,none
zero_score,27020,386,0.0011201829523633828,0.02256900356292984,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,20.0,84.0,buffered,0.15,3,none
ridge_wind_weather_only,27020,386,0.0011196126427229505,0.02256437434235577,0.5066247224278312,0.01553824821464053,0.013071824080778529,2.1627733215179146,1.666514489496552,0.7774188821469157,-0.004483904338139109,0.06550370402553005,-0.068452683780928,-0.29118196957830167,0.21468110625569403,-0.02060460803002019,0.3047742413027387,,20.0,84.0,buffered,0.15,3,none
rolling_mean_5d,27020,386,0.0011860302143162347,0.023386802445519543,0.49293116210214655,-0.012863273939626359,-0.006816162806456609,-1.1946390707660777,-0.6950474582937627,-0.32423541557627117,-0.03941915393515716,0.08542889442554218,-0.461426478713405,-0.29157374028758315,0.025859602155111197,-0.18114039784488883,0.26813471502590674,,20.0,84.0,buffered,0.1,3,none
ridge_finance_only,27020,386,0.0011196982785556713,0.02256340225393773,0.5049222797927461,0.011677952735059888,0.011547582709146345,1.086056781598931,1.2664009371895835,0.5907683414364752,-0.039832800237694255,0.08726105059629816,-0.4564785773893039,-0.4751185593505915,0.06424451319345253,-0.18304120109226169,0.32031828275351587,,20.0,84.0,buffered,0.15,3,none
rolling_mean_5d,27020,386,0.0011860302143162347,0.023386802445519543,0.49293116210214655,-0.012863273939626359,-0.006816162806456609,-1.1946390707660777,-0.6950474582937627,-0.32423541557627117,-0.04529262471301855,0.08556187484090036,-0.5293552157107213,-0.2757939005046642,-0.017701823086013868,-0.20813039451458526,0.24666913397483345,,20.0,84.0,buffered,0.15,3,none
lagged_return_reversal,27020,386,0.0012208498661058199,0.023475139405094374,0.5090303478904515,0.017993124024294784,0.01854206218862825,1.665705286051222,1.9329263986033698,0.9016984187928984,-0.046665296650382555,0.088154016253729,-0.5293609824431404,-0.460942560630005,0.18841899396371825,-0.2144381488934246,0.5218356772760917,,20.0,84.0,buffered,0.15,3,none
ridge_finance_only,27020,386,0.0011196982785556713,0.02256340225393773,0.5049222797927461,0.011677952735059888,0.011547582709146345,1.086056781598931,1.2664009371895835,0.5907683414364752,-0.05185683764621093,0.08874347135555201,-0.5843453817402043,-0.5071839385574992,0.04184834129241157,-0.23829451585044548,0.3628793486306439,,20.0,84.0,buffered,0.1,3,none
lagged_return_reversal,27020,386,0.0012208498661058199,0.023475139405094374,0.5090303478904515,0.017993124024294784,0.01854206218862825,1.665705286051222,1.9329263986033698,0.9016984187928984,-0.06060910933874305,0.08596440311111173,-0.7050489172873549,-0.5041779703376891,0.17320099756244262,-0.27851328815184306,0.5851221317542561,,20.0,84.0,buffered,0.1,3,none
ridge_price_only,27020,386,0.0011211060770130172,0.022570919173867984,0.5028867505551443,-0.012542587857663866,-0.003652074901324426,-1.6850166601395498,-0.4839894394545394,-0.2257781323613501,-0.06158571458596377,0.06490551416621373,-0.9488518098516493,-0.40546658622564863,-0.11500102178788119,-0.2830010217878811,0.21761658031088082,,20.0,84.0,buffered,0.1,3,none
